"07459: Befolkning, etter statistikkvariabel, region, kjønn, alder og år"

"statistikkvariabel";"region";"kjønn";"alder";"1986";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Personer";"0 Hele landet";"Menn";"0 år";26175;30485;30388;29042;28427;29076;29272;29165;30077;30054;31239;31928;31573;31136;31026;30330;30544;30545;30650;29337;28556;28208;27129
"Personer";"0 Hele landet";"Menn";"1 år";25768;30134;30655;30549;29269;28641;29346;29535;29507;30519;30466;31697;32375;32004;31653;31532;30674;30896;30862;31029;29649;28847;28422
"Personer";"0 Hele landet";"Menn";"2 år";25831;31151;30257;30760;30673;29417;28793;29504;29732;29799;30875;30815;32053;32765;32432;32035;31840;30827;31108;31115;31187;29823;28947
"Personer";"0 Hele landet";"Menn";"3 år";26518;31893;31181;30319;30859;30750;29490;28894;29656;29980;30030;31161;31118;32369;33101;32758;32289;32053;31024;31261;31157;31261;29825
"Personer";"0 Hele landet";"Menn";"4 år";26041;31595;31943;31238;30450;30897;30851;29576;29001;29878;30234;30281;31333;31389;32647;33362;32943;32399;32213;31175;31303;31274;31278
"Personer";"0 Hele landet";"Menn";"5 år";26509;31426;31630;32008;31376;30510;30997;30953;29728;29149;30111;30518;30519;31598;31671;32859;33554;33159;32536;32345;31242;31375;31274
"Personer";"0 Hele landet";"Menn";"6 år";26631;31138;31493;31688;32156;31488;30579;31138;31075;29914;29349;30289;30703;30681;31789;31906;33018;33716;33356;32655;32372;31274;31350
"Personer";"0 Hele landet";"Menn";"7 år";26743;31890;31173;31542;31843;32261;31598;30705;31267;31258;30152;29573;30447;30917;30886;31972;32086;33240;33931;33470;32712;32462;31288
"Personer";"0 Hele landet";"Menn";"8 år";26300;32192;31955;31223;31698;31943;32343;31732;30835;31440;31447;30352;29777;30604;31126;31115;32160;32282;33435;34092;33540;32834;32493
"Personer";"0 Hele landet";"Menn";"9 år";27545;32038;32218;32005;31345;31790;32065;32495;31853;31025;31621;31684;30506;29925;30829;31313;31290;32344;32491;33634;34217;33634;32878
"Personer";"0 Hele landet";"Menn";"10 år";28887;31238;32084;32255;32197;31424;31881;32204;32617;32067;31243;31845;31859;30657;30117;31032;31497;31540;32587;32702;33752;34323;33674
"Personer";"0 Hele landet";"Menn";"11 år";30541;30284;31304;32158;32411;32310;31531;31994;32311;32778;32285;31461;32062;32039;30825;30339;31219;31726;31748;32819;32858;33903;34378
"Personer";"0 Hele landet";"Menn";"12 år";31793;28431;30324;31346;32326;32513;32384;31649;32127;32518;32966;32488;31659;32271;32256;30954;30498;31420;31954;31939;32986;32987;34036
"Personer";"0 Hele landet";"Menn";"13 år";33130;28120;28474;30387;31495;32417;32627;32497;31802;32279;32735;33186;32681;31838;32502;32449;31158;30748;31744;32201;32088;33146;33056
"Personer";"0 Hele landet";"Menn";"14 år";33641;27281;28182;28536;30535;31609;32486;32743;32591;31969;32461;32975;33395;32901;32044;32697;32639;31454;31124;31935;32377;32229;33228
"Personer";"0 Hele landet";"Menn";"15 år";33392;26818;27361;28279;28712;30656;31694;32617;32858;32747;32165;32702;33202;33590;33137;32289;32904;32969;31993;31326;32092;32521;32323
"Personer";"0 Hele landet";"Menn";"16 år";34879;26901;26910;27460;28437;28875;30802;31807;32743;33037;32974;32486;33033;33438;33870;33426;32680;33353;33697;32283;31517;32300;32644
"Personer";"0 Hele landet";"Menn";"17 år";34711;27552;27102;27089;27722;28621;29082;30961;31950;32962;33246;33450;33067;33341;33743;34216;33826;33174;34142;34141;32501;31684;32411
"Personer";"0 Hele landet";"Menn";"18 år";34076;27082;27745;27258;27308;27916;28776;29205;31074;32117;33175;33629;33839;33369;33593;34039;34478;34106;33659;34544;34379;32696;31829
"Personer";"0 Hele landet";"Menn";"19 år";34414;27563;27159;27794;27411;27428;28001;28844;29290;31272;32401;33481;33983;34090;33695;33858;34340;34759;34469;33881;34676;34517;32820
"Personer";"0 Hele landet";"Menn";"20 år";33977;27640;27663;27202;27892;27563;27536;28111;29001;29609;31565;32626;33873;34358;34549;34010;34208;34662;35210;34712;34048;34794;34476
"Personer";"0 Hele landet";"Menn";"21 år";33663;27759;27780;27721;27322;28039;27628;27636;28267;29364;30003;31900;33163;34366;34817;34981;34530;34618;35210;35477;34896;34159;34855
"Personer";"0 Hele landet";"Menn";"22 år";32089;27345;27947;27852;27893;27381;28104;27785;27902;28819;29946;30359;32555;33914;34977;35379;35478;34968;35134;35461;35746;35129;34261
"Personer";"0 Hele landet";"Menn";"23 år";31681;28600;27547;28082;28080;28049;27518;28328;28152;28566;29505;30522;31160;33452;34734;35712;36047;36011;35448;35459;35789;36127;35275
"Personer";"0 Hele landet";"Menn";"24 år";31843;30083;28895;27662;28295;28195;28269;27728;28742;28961;29375;30195;31502;32262;34412;35531;36557;36560;36557;35870;35857;36264;36314
"Personer";"0 Hele landet";"Menn";"25 år";31428;31733;30371;29050;27879;28506;28359;28564;28257;29640;29912;30233;31179;32779;33416;35358;36480;37225;37175;37119;36328;36383;36548
"Personer";"0 Hele landet";"Menn";"26 år";32213;32877;32100;30481;29290;28078;28739;28661;29163;29277;30719;30830;31267;32398;34031;34376;36411;37317;37874;37746;37618;36912;36773
"Personer";"0 Hele landet";"Menn";"27 år";31917;34347;33135;32231;30692;29391;28275;29052;29244;30220;30317;31553;31894;32473;33602;35092;35343;37143;37881;38275;38224;38223;37281
"Personer";"0 Hele landet";"Menn";"28 år";31886;34917;34653;33231;32485;30847;29605;28571;29581;30257;31316;31058;32545;33084;33596;34572;36025;35994;37689;38359;38744;38820;38541
"Personer";"0 Hele landet";"Menn";"29 år";32288;34666;35142;34704;33503;32570;31027;29942;29145;30519;31343;32066;31964;33624;34227;34581;35515;36653;36460;38054;38696;39360;39157
"Personer";"0 Hele landet";"Menn";"30 år";32063;36326;34926;35226;34898;33631;32783;31353;30475;30083;31480;32004;32895;32899;34725;35117;35358;36139;37026;36771;38400;39255;39661
"Personer";"0 Hele landet";"Menn";"31 år";31430;36290;36489;35082;35390;34994;33772;33067;31762;31352;30870;32132;32667;33866;33920;35486;35841;35857;36454;37290;37094;39000;39393
"Personer";"0 Hele landet";"Menn";"32 år";31648;35516;36410;36525;35283;35405;35148;34033;33483;32593;32174;31441;32813;33596;34747;34594;36104;36284;36176;36684;37425;37580;39267
"Personer";"0 Hele landet";"Menn";"33 år";31491;36014;35622;36418;36628;35316;35546;35453;34397;34269;33285;32672;32098;33611;34482;35391;35190;36462;36422;36350;36912;37893;37747
"Personer";"0 Hele landet";"Menn";"34 år";30704;35570;36131;35607;36528;36640;35395;35768;35790;35096;34974;33756;33216;32864;34396;35102;35950;35454;36571;36580;36433;37324;38050
"Personer";"0 Hele landet";"Menn";"35 år";31384;35311;35631;36133;35717;36562;36728;35626;36106;36431;35792;35345;34207;33971;33555;34955;35569;36250;35485;36702;36697;36743;37419
"Personer";"0 Hele landet";"Menn";"36 år";31649;33681;35308;35664;36193;35724;36637;36869;35914;36746;37014;36144;35826;34873;34571;34031;35366;35791;36388;35604;36765;37027;36777
"Personer";"0 Hele landet";"Menn";"37 år";32613;33256;33680;35271;35760;36186;35768;36818;37154;36518;37347;37338;36500;36400;35415;34970;34398;35649;35872;36449;35618;37036;37044
"Personer";"0 Hele landet";"Menn";"38 år";33284;32936;33286;33662;35343;35793;36241;35899;37064;37647;37031;37626;37687;37030;36874;35759;35393;34618;35696;35858;36496;35869;37051
"Personer";"0 Hele landet";"Menn";"39 år";34770;32564;32909;33244;33690;35338;35783;36361;36111;37534;38069;37379;37917;38221;37495;37269;36102;35583;34636;35701;35890;36693;35930
"Personer";"0 Hele landet";"Menn";"40 år";31151;32979;32614;32900;33260;33661;35371;35849;36568;36597;37965;38314;37649;38341;38622;37795;37573;36287;35592;34610;35731;36077;36703
"Personer";"0 Hele landet";"Menn";"41 år";30233;32650;32962;32574;32884;33268;33627;35425;36054;36973;37005;38176;38575;38053;38699;38908;38059;37716;36268;35593;34544;35875;36074
"Personer";"0 Hele landet";"Menn";"42 år";26672;32149;32629;32927;32595;32846;33244;33745;35598;36470;37345;37225;38410;38952;38375;38900;39133;38166;37717;36233;35594;34706;35837
"Personer";"0 Hele landet";"Menn";"43 år";24478;32551;32084;32568;32933;32553;32879;33338;33909;35937;36794;37515;37439;38727;39233;38581;39065;39229;38152;37648;36237;35713;34704
"Personer";"0 Hele landet";"Menn";"44 år";21420;32164;32475;32034;32530;32907;32535;32914;33512;34261;36237;36950;37683;37719;38973;39373;38701;39115;39173;38114;37644;36319;35652
"Personer";"0 Hele landet";"Menn";"45 år";22181;31414;32060;32390;32017;32432;32859;32598;33022;33816;34539;36402;37085;37910;37895;39085;39505;38742;39058;39153;38042;37771;36349
"Personer";"0 Hele landet";"Menn";"46 år";21412;31319;31341;31971;32362;31943;32390;32877;32712;33286;34050;34671;36579;37315;38068;37984;39159;39554;38735;39022;39157;38163;37760
"Personer";"0 Hele landet";"Menn";"47 år";20741;31128;31228;31268;31912;32285;31932;32431;32951;32973;33479;34141;34755;36743;37445;38149;38108;39153;39457;38644;38968;39253;38138
"Personer";"0 Hele landet";"Menn";"48 år";19793;30120;31033;31107;31221;31835;32240;31919;32507;33147;33160;33547;34254;34942;36838;37478;38211;38066;39088;39373;38611;39033;39201
"Personer";"0 Hele landet";"Menn";"49 år";19197;30669;30012;30907;31035;31137;31786;32188;31969;32644;33301;33173;33560;34381;35042;36856;37519;38166;37964;39008;39296;38611;38962
"Personer";"0 Hele landet";"Menn";"50 år";18199;30823;30572;29882;30833;30946;31069;31728;32218;32126;32792;33367;33197;33664;34412;35006;36848;37461;38054;37867;38891;39317;38565
"Personer";"0 Hele landet";"Menn";"51 år";18616;31547;30679;30446;29797;30697;30843;30995;31708;32346;32200;32806;33368;33284;33714;34377;34974;36758;37337;37916;37784;38884;39239
"Personer";"0 Hele landet";"Menn";"52 år";18704;32008;31409;30543;30336;29666;30567;30764;30972;31741;32354;32136;32817;33431;33294;33663;34322;34894;36612;37233;37842;37722;38808
"Personer";"0 Hele landet";"Menn";"53 år";19723;33310;31829;31217;30426;30176;29542;30467;30690;30968;31752;32325;32122;32859;33453;33231;33591;34225;34723;36477;37089;37814;37627
"Personer";"0 Hele landet";"Menn";"54 år";19635;29678;33101;31635;31039;30259;30028;29416;30384;30668;30948;31645;32276;32122;32855;33349;33172;33461;34044;34590;36341;37040;37746
"Personer";"0 Hele landet";"Menn";"55 år";20365;28634;29491;32884;31416;30870;30103;29878;29303;30349;30614;30846;31557;32257;32053;32703;33246;33039;33284;33903;34436;36245;36944
"Personer";"0 Hele landet";"Menn";"56 år";20042;25116;28423;29297;32696;31234;30674;29937;29754;29227;30232;30455;30738;31501;32202;31891;32590;33054;32876;33147;33786;34357;36113
"Personer";"0 Hele landet";"Menn";"57 år";20248;22928;24922;28224;29099;32445;31001;30512;29789;29619;29117;30132;30321;30633;31386;32035;31722;32433;32859;32701;32967;33631;34224
"Personer";"0 Hele landet";"Menn";"58 år";20153;19931;22745;24748;28002;28880;32197;30780;30323;29652;29449;28957;30000;30211;30490;31164;31866;31554;32228;32648;32503;32836;33494
"Personer";"0 Hele landet";"Menn";"59 år";21139;20569;19723;22526;24549;27763;28645;31948;30544;30158;29497;29275;28773;29823;30037;30291;31026;31667;31328;31997;32448;32363;32661
"Personer";"0 Hele landet";"Menn";"60 år";20950;19668;20389;19528;22311;24330;27502;28395;31705;30305;29922;29310;29111;28603;29623;29791;30102;30803;31440;31081;31775;32248;32189
"Personer";"0 Hele landet";"Menn";"61 år";21795;18724;19451;20182;19272;22104;24099;27265;28121;31462;30067;29688;29110;28898;28378;29377;29578;29880;30533;31194;30837;31570;32060
"Personer";"0 Hele landet";"Menn";"62 år";22229;17770;18491;19216;19944;19010;21860;23806;26961;27854;31161;29821;29427;28844;28610;28129;29137;29292;29575;30279;30966;30629;31358
"Personer";"0 Hele landet";"Menn";"63 år";21822;16983;17507;18226;18925;19684;18782;21631;23531;26669;27500;30842;29484;29129;28569;28323;27860;28851;28997;29328;29972;30668;30383
"Personer";"0 Hele landet";"Menn";"64 år";21580;15830;16723;17220;17973;18656;19447;18554;21385;23256;26361;27175;30510;29211;28832;28277;28053;27592;28569;28682;29040;29701;30406
"Personer";"0 Hele landet";"Menn";"65 år";22963;15804;15565;16443;16962;17712;18399;19163;18301;21057;22963;26049;26846;30120;28886;28527;27967;27764;27266;28261;28378;28740;29417
"Personer";"0 Hele landet";"Menn";"66 år";18994;15783;15504;15308;16142;16649;17394;18147;18895;18046;20748;22641;25658;26501;29757;28518;28185;27644;27428;26945;27952;28104;28419
"Personer";"0 Hele landet";"Menn";"67 år";19187;16481;15493;15202;15001;15793;16359;17134;17850;18571;17756;20429;22305;25242;26071;29315;28153;27814;27253;27029;26627;27604;27731
"Personer";"0 Hele landet";"Menn";"68 år";18931;16022;16081;15145;14835;14673;15499;16042;16822;17517;18220;17434;20083;21968;24842;25647;28875;27746;27401;26868;26679;26278;27248
"Personer";"0 Hele landet";"Menn";"69 år";17335;16275;15634;15695;14765;14488;14339;15177;15702;16499;17209;17914;17104;19737;21617;24412;25239;28402;27357;26998;26489;26318;25899
"Personer";"0 Hele landet";"Menn";"70 år";16640;15613;15830;15188;15296;14404;14161;14004;14878;15374;16191;16880;17588;16783;19383;21223;23967;24794;27934;26932;26585;26058;25955
"Personer";"0 Hele landet";"Menn";"71 år";16237;15175;15170;15375;14757;14890;14010;13815;13714;14550;15028;15856;16507;17217;16450;19046;20833;23535;24341;27460;26482;26143;25617
"Personer";"0 Hele landet";"Menn";"72 år";15508;14743;14682;14664;14896;14321;14461;13674;13444;13346;14193;14678;15498;16138;16807;16096;18642;20399;23029;23858;26920;25994;25695
"Personer";"0 Hele landet";"Menn";"73 år";14871;14986;14193;14197;14164;14426;13912;14011;13242;13085;12975;13833;14289;15120;15730;16410;15717;18231;19952;22547;23382;26396;25492
"Personer";"0 Hele landet";"Menn";"74 år";13807;14333;14381;13647;13634;13613;13905;13424;13599;12825;12688;12586;13453;13832;14702;15277;15946;15335;17808;19486;22031;22809;25817
"Personer";"0 Hele landet";"Menn";"75 år";12676;14311;13707;13768;13049;13142;13118;13390;12946;13106;12390;12261;12196;13000;13455;14273;14836;15506;14931;17375;18987;21460;22181
"Personer";"0 Hele landet";"Menn";"76 år";11949;13973;13595;13054;13100;12458;12595;12568;12880;12436;12631;11967;11812;11770;12560;13027;13804;14357;15034;14532;16856;18447;20883
"Personer";"0 Hele landet";"Menn";"77 år";10611;12935;13206;12853;12359;12462;11892;12029;12049;12293;11903;12112;11445;11360;11355;12031;12562;13324;13890;14552;14071;16354;17914
"Personer";"0 Hele landet";"Menn";"78 år";9496;12170;12169;12331;12101;11682;11852;11267;11444;11438;11666;11341;11566;10934;10856;10870;11552;12059;12832;13364;13975;13571;15806
"Personer";"0 Hele landet";"Menn";"79 år";8607;12174;11326;11343;11494;11374;11005;11143;10644;10818;10735;11057;10758;10963;10359;10341;10400;11061;11565;12266;12839;13417;13045
"Personer";"0 Hele landet";"Menn";"80 år";7490;9473;11246;10503;10501;10747;10606;10303;10453;9942;10140;10098;10449;10171;10373;9783;9806;9879;10556;11000;11687;12269;12820
"Personer";"0 Hele landet";"Menn";"81 år";6752;8835;8673;10298;9635;9698;9875;9819;9585;9705;9267;9486;9426;9736;9540;9744;9189;9254;9349;9978;10445;11121;11641
"Personer";"0 Hele landet";"Menn";"82 år";6134;7990;7984;7850;9380;8781;8865;9060;9070;8847;8973;8554;8781;8785;9039;8863;9098;8607;8674;8776;9328;9870;10510
"Personer";"0 Hele landet";"Menn";"83 år";5369;6687;7116;7112;7045;8446;7974;8049;8248;8232;8113;8233;7854;8098;8039;8358;8182;8405;8017;8070;8177;8714;9237
"Personer";"0 Hele landet";"Menn";"84 år";4536;5746;5892;6275;6323;6269;7581;7170;7262;7431;7428;7356;7442;7087;7322;7277;7705;7496;7740;7386;7463;7548;8102
"Personer";"0 Hele landet";"Menn";"85 år";3766;5090;5009;5115;5477;5593;5564;6697;6353;6468;6602;6646;6622;6661;6376;6592;6579;6971;6831;7031;6759;6805;6895
"Personer";"0 Hele landet";"Menn";"86 år";3135;4305;4367;4308;4386;4741;4925;4836;5866;5543;5679;5787;5891;5878;5924;5685;5913;5863;6240;6130;6345;6097;6142
"Personer";"0 Hele landet";"Menn";"87 år";2768;3598;3664;3738;3680;3728;4083;4251;4183;5037;4721;4943;5023;5097;5182;5186;5040;5218;5145;5536;5434;5674;5444
"Personer";"0 Hele landet";"Menn";"88 år";2122;2908;3003;3083;3063;3054;3145;3427;3612;3558;4265;4046;4266;4310;4355;4503;4466;4398;4513;4470;4833;4752;5033
"Personer";"0 Hele landet";"Menn";"89 år";1720;2280;2386;2451;2499;2533;2540;2628;2870;3011;2990;3594;3387;3619;3660;3700;3877;3823;3768;3888;3838;4161;4063
"Personer";"0 Hele landet";"Menn";"90 år";1373;1741;1834;1894;1933;2007;2048;2021;2141;2341;2467;2429;2979;2807;2955;3038;3083;3200;3244;3162;3245;3251;3515
"Personer";"0 Hele landet";"Menn";"91 år";1008;1333;1386;1437;1510;1513;1599;1619;1616;1686;1862;1983;1932;2432;2239;2407;2429;2502;2649;2658;2625;2661;2701
"Personer";"0 Hele landet";"Menn";"92 år";765;966;1001;1043;1071;1126;1174;1240;1269;1239;1240;1447;1562;1487;1909;1776;1919;1924;1992;2116;2110;2077;2159
"Personer";"0 Hele landet";"Menn";"93 år";541;682;712;743;755;796;827;912;937;953;935;953;1091;1234;1109;1477;1374;1474;1484;1539;1682;1671;1621
"Personer";"0 Hele landet";"Menn";"94 år";389;481;483;528;526;552;587;604;702;678;700;690;695;821;900;848;1076;1023;1111;1119;1197;1263;1276
"Personer";"0 Hele landet";"Menn";"95 år";230;326;324;345;381;375;415;416;441;491;474;524;496;493;607;671;606;784;724;828;835;893;971
"Personer";"0 Hele landet";"Menn";"96 år";159;236;229;220;233;266;241;281;306;305;344;317;379;335;331;420;479;447;547;499;579;622;646
"Personer";"0 Hele landet";"Menn";"97 år";105;145;153;140;136;167;170;163;174;200;197;235;222;259;237;223;296;320;291;362;356;405;421
"Personer";"0 Hele landet";"Menn";"98 år";93;106;95;96;93;88;117;121;113;116;133;130;148;150;157;153;149;188;207;200;234;229;263
"Personer";"0 Hele landet";"Menn";"99 år";52;48;73;49;58;60;69;76;75;73;69;86;81;91;100;109;101;104;127;130;131;161;156
"Personer";"0 Hele landet";"Menn";"100 år";25;26;33;45;35;36;38;44;50;45;45;43;51;58;67;61;71;58;63;73;75;87;99
"Personer";"0 Hele landet";"Menn";"101 år";20;20;18;26;27;18;21;24;25;26;21;29;24;30;42;38;39;43;35;38;38;43;60
"Personer";"0 Hele landet";"Menn";"102 år";2;15;11;8;15;16;9;12;16;12;12;12;12;15;18;22;23;20;24;24;20;17;25
"Personer";"0 Hele landet";"Menn";"103 år";6;5;6;4;6;11;9;7;7;8;10;8;7;7;8;15;9;17;9;18;18;12;13
"Personer";"0 Hele landet";"Menn";"104 år";0;6;2;3;3;1;5;5;3;5;6;5;6;5;2;5;7;4;8;5;12;12;4
"Personer";"0 Hele landet";"Menn";"105 år eller eldre";3;9;9;3;3;3;1;5;7;10;11;6;3;4;6;4;8;12;11;16;16;19;23
